D,A,I,1,2,1,2,2,1,1,1,0,0
D,S,I,1,3,1,2,2,1,2,1,0,0
H,H,X,1,2,1,2,2,1,1,1,0,0
C,S,O,1,2,1,1,2,1,2,1,0,0
B,X,O,1,3,1,1,2,1,1,1,0,0
D,R,O,2,2,1,1,2,1,2,1,0,0
B,X,O,1,2,1,1,2,1,1,1,0,0
D,S,O,1,3,1,1,2,1,2,1,0,0
H,A,X,1,3,1,1,1,1,2,2,0,0
B,X,O,2,1,1,1,2,1,1,1,0,0
D,S,O,1,2,1,1,2,1,2,1,0,0
D,S,O,1,3,1,1,2,1,2,1,0,0
B,X,I,2,3,1,1,2,1,2,1,0,0
D,K,O,1,3,1,1,2,1,2,1,0,0
D,K,O,1,3,1,2,2,1,2,2,0,0
B,X,O,1,3,1,1,2,1,2,1,0,0
E,K,O,1,3,1,1,2,1,2,1,0,0
D,K,C,1,3,1,2,2,1,2,1,0,0
C,H,I,1,2,1,2,2,1,2,1,0,0
D,K,C,2,3,1,2,2,2,2,2,0,0
E,K,I,1,2,1,2,2,1,2,1,0,0
D,K,C,2,2,1,2,2,2,2,1,0,0
E,A,I,2,2,1,2,2,1,2,2,0,0
