D,S,I,1,3,1,2,2,1,2,1,0,0
D,S,O,1,3,1,1,2,1,2,1,0,0
D,S,O,1,2,1,1,2,1,2,1,0,0
D,S,I,1,2,1,2,2,1,1,1,0,0
C,A,I,1,2,1,2,2,1,2,1,0,0
D,S,O,1,3,1,1,2,1,2,1,0,0
D,S,O,1,2,1,1,2,1,2,1,0,0
D,S,O,1,3,1,1,2,1,2,1,0,0
D,R,O,1,2,1,1,2,1,2,1,0,0
D,R,O,1,2,1,1,2,1,2,1,0,0
D,S,O,1,3,1,1,2,1,2,1,0,0
H,H,X,1,2,1,2,2,1,1,1,0,0
D,H,X,1,2,1,2,2,1,1,1,0,0
E,H,X,1,2,1,1,2,1,1,1,0,0
F,H,X,1,2,1,2,2,1,1,1,0,0
F,H,X,1,2,1,1,2,1,1,1,0,0
E,A,O,1,2,1,2,2,1,1,1,0,0
E,H,X,1,2,1,1,2,1,1,1,0,0
F,H,X,1,2,1,1,2,1,1,1,0,0
E,H,X,1,2,1,1,2,1,1,1,0,0
E,H,X,1,2,1,1,2,1,1,1,0,0
D,A,O,1,2,1,2,2,1,1,1,0,0
C,S,O,1,2,1,1,2,1,2,1,0,0
B,X,O,1,2,1,1,2,1,1,1,0,0
B,X,O,1,2,1,1,2,1,1,1,0,0
C,S,O,1,2,1,1,2,1,2,1,0,0
C,R,O,1,2,1,1,2,1,2,1,0,0
C,S,O,1,2,1,1,2,1,2,1,0,0
C,S,O,1,2,1,1,2,1,2,1,0,0
C,R,O,1,2,1,1,2,1,2,1,0,0
C,S,O,1,2,1,1,2,1,2,1,0,0
C,S,O,1,2,1,1,2,1,2,1,0,0
C,R,O,1,2,1,1,2,1,2,1,0,0
B,X,O,1,3,1,1,2,1,1,1,0,0
B,X,O,1,2,1,1,2,1,1,1,0,0
B,X,O,1,2,1,1,2,1,1,1,0,0
B,X,O,1,2,1,1,2,1,1,1,0,0
B,X,O,1,2,1,1,2,1,1,1,0,0
C,R,O,1,3,1,1,2,1,1,1,0,0
B,X,O,1,2,1,1,2,1,1,1,0,0
C,X,O,1,2,1,1,2,1,1,1,0,0
B,R,O,1,2,1,1,2,1,1,1,0,0
B,X,O,1,3,1,1,2,1,1,1,0,0
B,R,O,1,3,1,1,2,1,1,1,0,0
D,S,O,1,3,1,1,2,1,2,1,0,0
D,R,O,1,2,1,1,2,1,2,1,0,0
D,R,O,1,2,1,1,2,1,2,1,0,0
C,S,O,1,2,1,1,2,1,2,1,0,0
D,S,O,1,2,1,1,2,1,1,1,0,0
D,S,O,1,2,1,1,2,1,2,1,0,0
C,A,O,1,2,1,1,2,1,2,1,0,0
D,S,O,1,2,1,1,2,1,1,1,0,0
D,S,O,1,2,1,1,2,1,2,1,0,0
D,R,O,1,2,1,1,2,1,2,1,0,0
C,S,O,1,2,1,1,2,1,2,1,0,0
H,A,X,1,3,1,1,1,1,2,2,0,0
F,A,X,1,3,1,1,1,1,2,2,0,0
D,A,X,1,3,1,1,1,1,2,2,0,0
F,H,X,1,3,1,1,1,1,2,2,0,0
E,A,X,1,3,1,1,1,1,2,2,0,0
F,A,X,1,3,1,1,1,1,2,1,0,0
E,A,X,1,3,1,1,1,1,2,2,0,0
D,S,X,1,2,1,1,1,1,2,1,0,0
E,H,X,1,3,1,1,1,1,2,1,0,0
E,A,X,1,3,1,1,1,1,2,2,0,0
D,S,X,1,2,1,1,1,1,2,1,0,0
F,S,X,1,3,1,1,1,1,2,1,0,0
F,A,X,1,3,1,1,1,1,2,2,0,0
E,S,X,1,2,1,1,1,1,2,1,0,0
D,H,X,1,3,1,1,1,1,2,1,0,0
F,S,X,1,3,1,1,1,1,2,1,0,0
E,S,X,1,3,1,1,1,1,2,1,0,0
F,H,X,1,3,1,1,1,1,2,2,0,0
F,A,X,1,3,1,1,1,1,2,1,0,0
F,S,X,1,2,1,1,1,1,2,1,0,0
F,A,X,1,3,1,1,1,1,2,2,0,0
E,S,X,1,2,1,1,1,1,2,1,0,0
D,S,X,1,3,1,1,1,1,2,1,0,0
D,H,X,1,3,1,1,1,1,2,1,0,0
F,H,X,1,3,1,1,1,1,2,1,0,0
D,S,X,1,2,1,1,1,1,2,1,0,0
D,A,X,1,3,1,1,1,1,2,2,0,0
